ITEMID,ITEMNAME,ITEMBRAND,ITEMCATEGORY,ITEMUNITPRICE
I0036566,17 inch Color Monitor,"ColorMeg, Inc.",Electronics,169
I0036577,19 inch Color Monitor,"ColorMeg, Inc.",Electronics,319
I1114590,R3000 Color Laser Printer,Connex,Printing,699
I1412138,10 Foot Printer Cable,Ethlite,Computer Accessories,12
I1445671,8-Outlet Surge Protector,Intersafe,Computer Accessories,14.99
I1556678,CVP Ink Jet Color Printer,Connex,Printing,99
I3455443,Color Ink Jet Cartridge,Connex,Printing,38
I4200744,36-Bit Color Scanner,UV Components,Scanning,199.99
I6677900,Black Ink Jet Cartridge,Connex,Printing,25.69
I9995676,Battery Back-up System,Cybercx,Computer Accessories,89
